Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Italy,North Italy,IT-NO,244.28,307.96,51.71,31.46,entsoe.eu,false,
2022-01-01 01:00:00,Italy,North Italy,IT-NO,245.76,311.62,51.91,32.26,entsoe.eu,false,
2022-01-01 02:00:00,Italy,North Italy,IT-NO,236.19,301.06,53.57,32.85,entsoe.eu,false,
2022-01-01 03:00:00,Italy,North Italy,IT-NO,226.81,288.03,55.74,33.77,entsoe.eu,false,
2022-01-01 04:00:00,Italy,North Italy,IT-NO,230.17,291.04,55.57,33.55,entsoe.eu,false,
2022-01-01 05:00:00,Italy,North Italy,IT-NO,221.45,283.26,57.36,35.22,entsoe.eu,false,
2022-01-01 06:00:00,Italy,North Italy,IT-NO,219.87,274.67,57.81,35.13,entsoe.eu,false,
2022-01-01 07:00:00,Italy,North Italy,IT-NO,203.96,256.51,61.15,36.34,entsoe.eu,false,
2022-01-01 08:00:00,Italy,North Italy,IT-NO,191.63,240.98,63.76,37.89,entsoe.eu,false,
2022-01-01 09:00:00,Italy,North Italy,IT-NO,189.72,241.09,63.42,38.51,entsoe.eu,false,
2022-01-01 10:00:00,Italy,North Italy,IT-NO,199.43,257.94,59.68,37.26,entsoe.eu,false,
2022-01-01 11:00:00,Italy,North Italy,IT-NO,207.48,266.44,58.57,38.57,entsoe.eu,false,
2022-01-01 12:00:00,Italy,North Italy,IT-NO,208.98,269.46,58.12,39.13,entsoe.eu,false,
2022-01-01 13:00:00,Italy,North Italy,IT-NO,193.71,250.77,61.9,37.17,entsoe.eu,false,
2022-01-01 14:00:00,Italy,North Italy,IT-NO,193.47,247.99,62.15,32.77,entsoe.eu,false,
2022-01-01 15:00:00,Italy,North Italy,IT-NO,211.44,270.03,58.52,32.26,entsoe.eu,false,
2022-01-01 16:00:00,Italy,North Italy,IT-NO,229.01,286.76,58.39,36.68,entsoe.eu,false,
2022-01-01 17:00:00,Italy,North Italy,IT-NO,239.1,295.84,58.7,39.63,entsoe.eu,false,
2022-01-01 18:00:00,Italy,North Italy,IT-NO,246.58,303.17,58.62,40.91,entsoe.eu,false,
2022-01-01 19:00:00,Italy,North Italy,IT-NO,253.26,312.08,56.4,38.61,entsoe.eu,false,
2022-01-01 20:00:00,Italy,North Italy,IT-NO,248.1,309.61,54.85,35.55,entsoe.eu,false,
2022-01-01 21:00:00,Italy,North Italy,IT-NO,242.91,307.14,51.91,31.28,entsoe.eu,false,
2022-01-01 22:00:00,Italy,North Italy,IT-NO,239.04,303.29,52.5,30.13,entsoe.eu,false,
2022-01-01 23:00:00,Italy,North Italy,IT-NO,213.75,273.95,58.08,30.87,entsoe.eu,false,
2022-01-02 00:00:00,Italy,North Italy,IT-NO,227.48,288.53,55.25,29.92,entsoe.eu,false,
2022-01-02 01:00:00,Italy,North Italy,IT-NO,226.76,287.56,55.3,29.97,entsoe.eu,false,
